circle,x,y,radius
0,0.06977107568296873,0.06977107568297569,0.06977107568297103
1,0.226103295171998,0.08757125575007355,0.08757125575007196
2,0.40421869474727,0.09056937488826511,0.09056937488826683
3,0.5853168363355888,0.09052877125188247,0.09052877125188276
4,0.7652668705201714,0.08942465018368281,0.0894246501836802
5,0.9269330385282026,0.07306696147179856,0.07306696147179934
6,0.10794050107827617,0.2433351833779678,0.107940501078271
7,0.3094037922636613,0.2484424077897551,0.09358751542673686
8,0.49484416267294834,0.24888895888444498,0.09185339264219375
9,0.6773614002481468,0.24661747869650813,0.09067797900204089
10,0.8838819371736031,0.25728850226132266,0.1161180628263959
11,0.06331525320633093,0.4086745937674991,0.06331525320633549
12,0.21822588350952093,0.409626700734746,0.09159830297454667
13,0.4034775285334971,0.410336757434755,0.09365470284345964
14,0.5892639181130462,0.40683689183781313,0.09216464924937906
15,0.751941166602833,0.3904454681241792,0.07133631694845072
16,0.901409601368399,0.4712803348380745,0.0985903986316003
17,0.10622871504269926,0.5726977383625474,0.106228715042696
18,0.3081330707478979,0.5739118029085171,0.09567929075562194
19,0.5010189546480561,0.5743914194083245,0.09720718943398281
20,0.7133709992493936,0.5728996378146963,0.11515009501535417
21,0.9033567625472245,0.6665042606824905,0.09664323745277348
22,0.06238720755320509,0.7355143578272606,0.062387207553205246
23,0.21625157750837015,0.736969785709135,0.09148404581148181
24,0.40264911080743515,0.7394368728895564,0.0949298134885478
25,0.5914750415187727,0.742764144061858,0.09392542960111513
26,0.7585706708176101,0.7562770574134831,0.07371569947526481
27,0.8884332917757591,0.8884332917759094,0.11156670822423918
28,0.1036541447397936,0.8963458552602127,0.10365414473979295
29,0.3037552152944953,0.9034277921600457,0.09657220783995948
30,0.49517837077491983,0.9051413826149545,0.09485861738505436
31,0.6838352301420931,0.9061987946708783,0.09380120532912692
