circle,x,y,radius
0,0.08492626245489736,0.08492626245489926,0.08492626245490092
1,0.29769047491083783,0.1332585727708123,0.13325857277081124
2,0.5027155537958912,0.07886037291596282,0.07886037291596376
3,0.7053905112181723,0.13022110106522528,0.1302211010652257
4,0.9153604993042264,0.08463950069577415,0.08463950069577457
5,0.10518256026874877,0.2739528396239522,0.10518256026875066
6,0.2973903963009764,0.38166584445264595,0.11514888016002393
7,0.504468239325642,0.27534261677143973,0.11762968804654393
8,0.7052539409510507,0.38692355340960066,0.1120770889502579
9,0.8932098553714197,0.2747832833508196,0.10679014462858151
10,0.10346723335795131,0.482595582210543,0.10346723335795377
11,0.2730942856884047,0.5960427019081356,0.10060036781871352
12,0.5013319244965974,0.5299634197531922,0.13701043012374867
13,0.728370148513998,0.597634796387662,0.09989835059275755
14,0.8969394798584169,0.484600802651916,0.10306052014158411
15,0.11115617941044523,0.888843820589555,0.11115617941044617
16,0.31405697801321736,0.9074079050485648,0.09259209495143668
17,0.5005716308609616,0.9060726627225567,0.09392733727744534
18,0.6868841900295984,0.9076084484290408,0.09239155157096138
19,0.8892209872092837,0.8892209872092834,0.11077901279071739
20,0.09615133404576504,0.6820800429325911,0.09615133404576658
21,0.24064759843906824,0.7629588636539986,0.0694401937112599
22,0.40478026706026754,0.7420494434605933,0.096018975758255
23,0.5966412163973194,0.7424170495016355,0.09584232574550655
24,0.7602894720724636,0.7636735693833845,0.06918067635723654
25,0.9042676706929774,0.6832585349730804,0.09573232930702327
